App_ID,Category_ID
226780,24
226780,21
226780,12
226780,10
226780,9
226820,32
226820,12
226840,35
226840,33
226840,32
226840,28
226840,24
226840,16
226840,15
226840,12
226840,10
226840,9
226840,7
226840,5
226860,35
226860,32
226860,24
226860,23
226860,22
226860,20
226860,12
226860,11
226860,10
226860,7
226860,5
226960,35
226960,32
226960,24
226960,12
226960,10
226960,9
226960,7
227060,36
227060,32
227060,12
227060,10
227060,9
227060,7
227080,32
227080,31
227080,12
227080,10
227080,9
227100,35
227100,32
227100,24
227100,21
227100,12
227100,10
227100,9
227100,8
227100,7
227160,32
227160,12
227160,7
227160,5
227180,35
227180,28
227180,25
227180,24
227180,12
227180,10
227180,7
227220,12
227220,10
227220,7
227380,32
227380,21
227380,12
227380,10
227560,35
227560,33
227560,32
227560,31
227560,24
227560,17
227560,12
227560,10
227560,9
227560,8
227560,7
227580,32
227580,12
227580,10
227580,7
227600,32
227600,31
227600,12
227600,10
227600,9
227760,32
227760,24
227760,12
227760,7
227780,35
227780,32
227780,28
227780,24
227780,21
227780,16
227780,15
227780,12
227780,11
227780,10
227780,9
227780,8
227780,5
227800,35
227800,32
227800,31
227800,27
227800,26
227800,24
227800,23
227800,22
227800,20
227800,12
227800,10
227800,7
227800,5
227860,35
227860,33
227860,32
227860,28
227860,27
227860,26
227860,24
227860,23
227860,22
227860,20
227860,12
227860,10
227860,5
228260,32
228260,12
228260,10
228260,9
228260,7
228280,36
228280,35
228280,33
228280,32
228280,24
228280,12
228280,10
228280,9
228280,7
228300,32
228300,31
228300,17
228300,12
228300,10
228300,9
228300,7
228320,35
228320,33
228320,32
228320,27
228320,24
228320,23
228320,21
228320,12
228320,10
228360,32
228360,31
228360,17
228360,16
228360,12
228360,10
228360,9
228360,7
228380,32
228380,24
228380,22
228380,21
228380,20
228380,12
228380,11
228380,10
228380,9
228380,8
228380,5
228400,35
228400,24
228400,21
228400,12
228400,10
228400,9
228400,8
228440,33
228440,32
228440,28
228440,24
228440,12
228440,11
228440,10
228440,9
228440,8
228440,7
228760,32
228760,28
228760,24
228760,21
228760,12
228760,5
228760,2
228960,36
228960,34
228960,32
228960,31
228960,24
228960,22
228960,20
228960,17
228960,16
228960,13
228960,12
228960,10
228960,9
228960,8
228960,7
229480,35
229480,32
229480,31
229480,24
229480,16
229480,15
229480,12
229480,10
229480,8
229520,32
229520,12
229520,8
229520,7
229560,32
229560,28
229560,12
229580,32
229580,21
229580,12
229580,10
229580,9
229580,7
229600,32
229600,24
229600,12
229790,12
229810,35
229810,32
229810,24
229810,21
229810,16
229810,15
229810,12
229810,10
229810,7
229870,32
229870,28
229870,24
229870,21
229870,5
229890,32
229890,31
229890,28
229890,24
229890,16
229890,15
229890,12
229890,10
229890,9
229890,8
229890,7
229890,5
229970,32
229970,24
229970,12
230050,32
230050,12
230050,10
230050,8
230050,7
230070,32
230070,12
230070,10
230070,9
230070,7
230150,32
230150,28
230150,12
230150,10
230150,9
230190,36
230190,33
230190,32
230190,28
230190,24
230190,22
230190,20
230190,12
230190,10
230190,9
230190,8
230190,7
230190,5
230230,36
230230,35
230230,33
230230,32
230230,28
230230,24
230230,16
230230,12
230230,10
230230,9
230230,7
230230,5
230270,35
230270,32
230270,31
230270,24
230270,20
230270,17
230270,16
230270,15
230270,14
230270,13
230270,12
230270,10
230270,7
230290,32
230290,21
230290,12
230290,9
230290,5
230290,1
230330,32
230330,25
230330,24
230410,35
230410,31
230410,29
230410,24
230410,23
230410,19
230410,18
230410,12
230410,10
230410,7
230410,5
230650,32
230650,12
230650,10
230650,9
230650,7
230700,32
230700,31
230700,12
230700,10
230700,9
230700,7
230760,32
230760,21
230760,12
230820,32
230820,12
230820,10
230820,9
230820,7
230840,36
230840,32
230840,21
230840,12
230840,10
230840,7
230860,32
230860,31
230860,24
230860,17
230860,12
230860,10
230860,9
230860,8
230860,7
230980,32
230980,21
230980,12
231020,32
231020,21
231020,12
231020,10
231020,7
231040,32
231040,31
231040,17
231040,12
231040,11
231040,10
231040,9
231040,8
231040,7
231060,24
231060,12
231140,32
231140,12
231140,9
231160,32
231160,31
231160,17
231160,12
231160,10
231160,7
231200,36
231200,32
231200,31
231200,17
231200,12
231200,10
231200,9
231310,35
231310,33
231310,32
231310,21
231310,12
231310,10
231310,7
231330,35
231330,32
231330,24
231330,21
231330,12
231330,10
231330,9
231330,8
231330,7
231430,35
231430,32
231430,24
231430,23
231430,22
231430,20
231430,12
231430,11
231430,10
231430,9
231430,7
231430,5
231720,32
231720,12
231720,11
231720,10
231720,9
231720,8
231720,7
231740,32
231740,12
231740,10
231740,7
232010,32
232010,21
232010,16
232010,12
232050,35
232050,32
232050,24
232050,16
232050,14
232050,12
232050,10
232050,9
232050,7
232090,35
232090,32
232090,31
232090,29
232090,28
232090,24
232090,23
232090,22
232090,20
232090,18
232090,17
232090,12
232090,10
232090,7
232090,5
232430,36
232430,34
232430,32
232430,31
232430,17
232430,12
232430,10
232430,9
232430,7
232450,33
232450,32
232450,24
232450,12
232750,32
232750,31
232750,17
232750,12
232750,10
232750,9
232750,7
232790,32
232790,31
232790,12
232790,9
232790,7
232890,35
232890,32
232890,28
232890,24
232890,23
232890,22
232890,20
232890,12
232890,10
232890,9
232890,7
232890,5
232910,32
232910,28
232910,24
232910,21
232910,12
232910,5
232910,2
232950,32
232950,28
232950,12
232950,10
232950,5
232970,35
232970,32
232970,31
232970,24
232970,17
232970,16
232970,15
232970,14
232970,12
232970,10
232970,8
233110,32
233110,31
233110,17
233110,12
233110,10
233110,8
233110,7
233130,36
233130,32
233130,31
233130,17
233130,12
233130,10
233130,9
233130,7
233150,32
233150,31
233150,12
233150,10
233150,9
233150,8
233150,7
233190,35
233190,32
233190,31
233190,24
233190,23
233190,17
233190,16
233190,15
233190,14
233190,12
233190,10
233190,9
233190,8
233190,7
233210,32
233210,31
233210,24
233210,17
233210,12
233210,10
233210,9
233230,32
233230,21
233230,12
233230,10
233230,9
233230,7
233270,21
233270,12
233270,7
233290,32
233290,31
233290,12
233290,10
233290,7
233310,32
233310,12
233310,10
233350,36
233350,32
